,precision,recall,f1-score,support
0,0.0,0.0,0.0,45.0
1,0.55,1.0,0.7096774193548387,55.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.275,0.5,0.3548387096774194,100.0
weighted avg,0.30250000000000005,0.55,0.3903225806451613,100.0
