,precision,recall,f1-score,support
0,0.9534883720930233,0.8367346938775511,0.8913043478260869,49.0
1,0.8596491228070176,0.9607843137254902,0.9074074074074074,51.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9065687474500204,0.8987595038015206,0.8993558776167472,100.0
weighted avg,0.9056303549571604,0.9,0.8995169082125604,100.0
