,precision,recall,f1-score,support
0,0.9787234042553191,0.8363636363636363,0.9019607843137255,55.0
1,0.8301886792452831,0.9777777777777777,0.8979591836734695,45.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9044560417503011,0.907070707070707,0.8999599839935974,100.0
weighted avg,0.9118827780008029,0.9,0.9001600640256103,100.0
