,precision,recall,f1-score,support
0,0.9,0.5,0.6428571428571429,54.0
1,0.6142857142857143,0.9347826086956522,0.7413793103448276,46.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7571428571428571,0.7173913043478262,0.6921182266009853,100.0
weighted avg,0.7685714285714286,0.7,0.6881773399014779,100.0
