,precision,recall,f1-score,support
0,0.9210526315789473,0.7291666666666666,0.8139534883720931,48.0
1,0.7903225806451613,0.9423076923076923,0.8596491228070176,52.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8556876061120543,0.8357371794871795,0.8368013055895553,100.0
weighted avg,0.8530730050933787,0.84,0.8377152182782538,100.0
