,precision,recall,f1-score,support
0,0.9696969696969697,0.6666666666666666,0.7901234567901234,48.0
1,0.7611940298507462,0.9807692307692307,0.8571428571428572,52.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.865445499773858,0.8237179487179487,0.8236331569664903,100.0
weighted avg,0.8612754409769334,0.83,0.824973544973545,100.0
