,precision,recall,f1-score,support
0,0.8205128205128205,0.6956521739130435,0.7529411764705882,46.0
1,0.7704918032786885,0.8703703703703703,0.817391304347826,54.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.7955023118957545,0.7830112721417068,0.7851662404092071,100.0
weighted avg,0.7935014712063893,0.79,0.7877442455242967,100.0
