,precision,recall,f1-score,support
0,0.8913043478260869,0.7884615384615384,0.836734693877551,52.0
1,0.7962962962962963,0.8958333333333334,0.8431372549019608,48.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8438003220611916,0.8421474358974359,0.8399359743897559,100.0
weighted avg,0.8457004830917874,0.84,0.8398079231692677,100.0
