,precision,recall,f1-score,support
0,0.8974358974358975,0.7446808510638298,0.813953488372093,47.0
1,0.8032786885245902,0.9245283018867925,0.8596491228070176,53.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.8503572929802439,0.8346045764753112,0.8368013055895553,100.0
weighted avg,0.8475325767129047,0.84,0.8381721746226031,100.0
