,precision,recall,f1-score,support
0,0.84,0.8235294117647058,0.8316831683168315,51.0
1,0.82,0.8367346938775511,0.8282828282828283,49.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.83,0.8301320528211285,0.8299829982998299,100.0
weighted avg,0.8301999999999999,0.83,0.8300170017001699,100.0
