,precision,recall,f1-score,support
0,0.8043478260869565,0.7872340425531915,0.795698924731183,47.0
1,0.8148148148148148,0.8301886792452831,0.8224299065420562,53.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.8095813204508857,0.8087113608992373,0.8090644156366196,100.0
weighted avg,0.8098953301127214,0.81,0.8098663450909459,100.0
